,submission_id,title,authors,submission_type,first_author_last_name
102,699,Translating Phrases in Neural Machine Translation,"Xing Wang, Zhaopeng Tu, Deyi Xiong and Min Zhang",Long,wang
105,723,"Sentiment Lexicon Expansion Based on Neural PU Learning, Double Dictionary Lookup, and Polarity Association","Yasheng Wang, Yang Zhang and Bing Liu",Long,wang
172,1169,Sentiment Lexicon Construction with Representation Learning Based on Hierarchical Sentiment Supervision,Leyi Wang and Rui Xia,Long,wang
259,716,Exploiting Cross-Sentence Context for Neural Machine Translation,"Longyue Wang, Zhaopeng Tu, Andy Way and Qun Liu",Short,wang
158,1082,Integrating Order Information and Event Relation for Script Event Prediction,"Zhongqing Wang, Yue Zhang and Ching-Yun Chang",Long,wang
45,359,Deep Neural Solver for Math Word Problems,"Yan Wang, Xiaojiang Liu and Shuming Shi",Long,wang
243,552,Instance Weighting for Neural Machine Translation Domain Adaptation,"Rui Wang, Masao Utiyama, Lemao Liu, Kehai Chen and Eiichiro Sumita",Short,wang
246,600,Exploiting Word Internal Structures for Generic Chinese Sentence Representation,"Shaonan Wang, Jiajun Zhang and Chengqing Zong",Short,wang
78,539,CROWD-IN-THE-LOOP: A Hybrid Approach for Annotating Semantic Roles,"Chenguang Wang, Alan Akbik, laura chiticariu, Yunyao Li, Fei Xia and Anbang Xu",Long,wang
142,1013,Transition-Based Disfluency Detection using LSTMs,"Shaolei Wang, Wanxiang Che, Yue Zhang, Meishan Zhang and Ting Liu",Long,wang
240,497,Learning to Rank Semantic Coherence for Topic Segmentation,"Liang Wang, Sujian Li, Yajuan Lv and Houfeng WANG",Short,wang
46,372,Dynamic Data Selection for Neural Machine Translation,"Marlies van der Wees, Arianna Bisazza and Christof Monz",Long,wees
178,1213,Neural Machine Translation with Word Predictions,"Rongxiang Weng, Shujian Huang, Zaixiang Zheng, XIN-YU DAI and Jiajun CHEN",Long,weng
204,1396,Learning Paraphrastic Sentence Embeddings from Back-Translated Bitext,"John Wieting, Jonathan Mallinson and Kevin Gimpel",Long,wieting
169,1161,Learning Translations via Matrix Completion,"Derry Tanti Wijaya, Brendan Callahan, John Hewitt, Jie Gao, Xiao Ling, Marianna Apidianaki and Chris Callison-Burch",Long,wijaya
197,1363,Challenges in Data-to-Document Generation,"Sam Wiseman, Alexander Rush and Stuart Shieber",Long,wiseman
222,170,Adversarial Training for Relation Extraction,"Yi Wu, David Bamman and Stuart Russell",Short,wu
152,1047,DeepPath: A Reinforcement Learning Method for Knowledge Graph Reasoning,"Wenhan Xiong, Thien Hoang and William Yang Wang",Long,xiong
194,1344,Neural Response Generation via GAN with an Approximate Embedding Layer,"Zhen Xu, Bingquan Liu, Baoxun Wang, Chengjie SUN, Xiaolong Wang, Zhuoran Wang and Chao Qi",Long,xu
205,1399,Towards a Universal Sentiment Classifier in Multiple languages,Kui Xu and Xiaojun Wan,Long,xu
239,476,Zipporah: a Fast and Scalable Data Cleaning System for Noisy Web-Crawled Parallel Corpora,Hainan Xu and Philipp Koehn,Short,xu
88,624,Determining Semantic Textual Similarity using Natural Deduction Proofs,"Hitomi Yanaka, Koji Mineshima, Pascual Martínez-Gómez and Daisuke Bekki",Long,yanaka
61,455,Satirical News Detection and Analysis using Attention Mechanism and Linguistic Features,"Fan Yang, Arjun Mukherjee and Eduard Dragut",Long,yang
64,472,Identifying Semantic Edit Intentions from Revisions in Wikipedia,"Diyi Yang, Aaron Halfaker, Robert Kraut and Eduard Hovy",Long,yang
126,938,Reference-Aware Language Models,"Zichao Yang, Phil Blunsom, Chris Dyer and Wang Ling",Long,yang
160,1087,A Joint Sequential and Relational Model for Frame-Semantic Parsing,Bishan Yang and Tom Mitchell,Long,yang
276,948,Identifying and Tracking Sentiments and Topics from Social Media Texts during Natural Disasters,"Min Yang, Jincheng Mei, Heng Ji, zhao wei, Zhou Zhao and Xiaojun Chen",Short,yang
296,1249,A Simple Regularization-based Algorithm for Learning Cross-Domain Word Embeddings,"Wei Yang, Wei Lu and Vincent Zheng",Short,yang
284,1075,Adapting Topic Models using Lexical Associations with Tree Priors,"Weiwei Yang, Jordan Boyd-Graber and Philip Resnik",Short,yang
137,992,Towards Bidirectional Hierarchical Representations for Attention-based Neural Machine Translation,"Baosong Yang, Derek F. Wong, Tong Xiao, Lidia S. Chao and Jingbo Zhu",Long,yang
62,457,Neural Sequence-Labelling Models for Grammatical Error Correction,"Helen Yannakoudakis, Marek Rei, Øistein E. Andersen and Zheng Yuan",Long,yannakoudakis
100,689,Towards Implicit Content-Introducing for Generative Short-Text Conversation Systems,"Lili Yao, Yaoyuan Zhang, Yansong Feng, Dongyan Zhao and Rui Yan",Long,yao
92,633,Depression and Self-Harm Risk Assessment in Online Forums,"Andrew Yates, Arman Cohan and Nazli Goharian",Long,yates
309,1405,Recovering Question Answering Errors via Query Revision,"Semih Yavuz, Izzeddin Gur, Yu Su and Xifeng Yan",Short,yavuz
21,177,Document-Level Multi-Aspect Sentiment Classification as Machine Comprehension,"Yichun Yin, Yangqiu Song and Ming Zhang",Long,yin
198,1367,Obj2Text: Generating Visually Descriptive Language from Object Layouts,Xuwang Yin and Vicente Ordonez,Long,yin
108,751,Chinese Zero Pronoun Resolution with Deep Memory Network,"Qingyu Yin, Yu Zhang, Weinan Zhang and Ting Liu",Long,yin
289,1151,Hierarchically-Attentive RNN for Album Summarization and Storytelling,"Licheng Yu, Mohit Bansal and Tamara Berg",Short,yu
286,1126,Refining Word Embeddings for Sentiment Analysis,"Liang-Chih Yu, Jin Wang, K. Robert Lai and Xuejie Zhang",Short,yu
219,102,"Joint Embeddings of Chinese Words, Characters, and Fine-grained Subcharacter Components","Jinxing Yu, Xun Jian, Hao Xin and Yangqiu Song",Short,yu
206,1400,Tensor Fusion Network for Multimodal Sentiment Analysis,"Amir Zadeh, Minghai Chen, Soujanya Poria, Erik Cambria and Louis-Philippe Morency",Long,zadeh
139,996,Don't Throw Those Morphological Analyzers Away Just Yet: Neural Morphological Disambiguation for Arabic,Nasser Zalmout and Nizar Habash,Long,zalmout
244,553,Deriving continous grounded meaning representations from referentially structured multimodal contexts,Sina Zarrieß and David Schlangen,Short,zarrieß
211,1459,Zero-Shot Activity Recognition with Verb Attribute Induction,Rowan Zellers and Yejin Choi,Long,zellers
193,1333,Incorporating Relation Paths in Neural Relation Extraction,"Wenyuan Zeng, Yankai Lin, Zhiyuan Liu and Maosong Sun",Long,zeng
69,493,Semi-supervised Structured Prediction with Neural CRF Autoencoder,"Xiao Zhang, Yong Jiang, Hao Peng, Kewei Tu and Dan Goldwasser",Long,zhang
231,338,Towards Compact and Fast Neural Machine Translation Using a Combined Method,"Xiaowei Zhang, Wei Chen, Shuang Xu and Bo Xu",Short,zhang
57,437,Sentence Simplification with Deep Reinforcement Learning,Xingxing Zhang and Mirella Lapata,Long,zhang
302,1305,Noise-Clustered Distant Supervision for Relation Extraction: A Nonparametric Bayesian Perspective,Qing Zhang and Houfeng Wang,Short,zhang
38,308,End-to-End Neural Relation Extraction with Global Optimization,"Meishan Zhang, Yue Zhang and Guohong Fu",Long,zhang
209,1417,Position-aware Attention and Supervised Data Improve Slot Filling,"Yuhao Zhang, Victor Zhong, Danqi Chen, Gabor Angeli and Christopher D. Manning",Long,zhang
79,543,Earth Mover's Distance Minimization for Unsupervised Bilingual Lexicon Induction,"Meng Zhang, Yang Liu, Huanbo Luan and Maosong Sun",Long,zhang
248,638,Stack-based Multi-layer Attention for Transition-based Dependency Parsing,"Zhirui Zhang, Shujie Liu, Mu Li, Ming Zhou and Enhong Chen",Short,zhang
135,982,Macro Grammars and Holistic Triggering for Efficient Semantic Parsing,"Yuchen Zhang, Panupong Pasupat and Percy Liang",Long,zhang
171,1165,Asking too much? The rhetorical role of questions in political discourse,"Justine Zhang, Arthur Spirling and Cristian Danescu-Niculescu-Mizil",Long,zhang
221,147,Towards Automatic Construction of News Overview Articles by News Synthesis,Jianmin Zhang and Xiaojun Wan,Short,zhang
321,1495,Joint Syntactic and Discourse Parsing with Recurrent Neural Models,"Kai Zhao, Dapeng Li and Liang Huang",Short,zhao
288,1134,An End-to-End Deep Framework for Answer Triggering with a Novel Group-Level Objective,"Jie Zhao, Yu Su, Ziyu Guan and Huan Sun",Short,zhao
214,1470,Men Also Like Shopping: Reducing Gender Bias Amplification using Corpus-level Constraints,"Jieyu Zhao, Tianlu Wang, Mark Yatskar, Vicente Ordonez and Kai-Wei Chang",Long,zhao
24,193,Ngram2vec: Learning Improved Word Representations from Ngram Co-occurrence Statistics,"Zhe Zhao, Tao Liu, Shen Li, Bofang Li and Xiaoyong Du",Long,zhao
104,720,Incremental Graph-based Neural Dependency Parsing,Xiaoqing Zheng,Long,zheng
301,1299,Word-Context Character Embeddings for Chinese Word Segmentation,"Hao Zhou, Zhenting Yu, Yue Zhang, Shujian Huang, XIN-YU DAI and Jiajun Chen",Short,zhou
97,674,Identifying Semantically Deviating Outlier Documents,"Honglei Zhuang, Chi Wang, Fangbo Tao, Lance Kaplan and Jiawei Han",Long,zhuang
